성별,적발횟수,나이,알콜농도,측정일시,관할경찰서
남자,1,55,0.034,2022-07-01 22:32:00,여수경찰서
남자,1,47,0.124,2022-07-01 22:34:00,군포경찰서
남자,1,33,0.142,2022-07-01 22:34:00,서울강동경찰서
여자,1,41,0.104,2022-07-01 22:35:00,용인동부경찰서
여자,1,55,0.151,2022-07-01 22:35:00,광명경찰서
남자,1,51,0.125,2022-07-01 22:35:00,부산사상경찰서
남자,1,44,0.093,2022-07-01 22:35:00,대구서부경찰서
남자,1,25,0.086,2022-07-01 22:36:00,화성서부경찰서
남자,1,48,0.09,2022-07-01 22:37:00,서울종로경찰서
남자,1,59,0.199,2022-07-01 22:40:00,대전중부경찰서
남자,1,28,0.05,2022-07-01 22:41:00,광주서부경찰서
남자,1,38,0.068,2022-07-01 22:43:00,서울영등포경찰서
남자,1,38,0.163,2022-07-01 22:43:00,인천서부경찰서
남자,1,31,0.054,2022-07-01 22:43:00,김포경찰서
남자,1,41,0.113,2022-07-01 22:44:00,광주남부경찰서
남자,1,26,0.144,2022-07-01 22:46:00,수원중부경찰서
남자,1,33,0.065,2022-07-01 22:47:00,평택경찰서
남자,1,35,0.141,2022-07-01 22:47:00,수원남부경찰서
남자,1,48,0.203,2022-07-01 22:47:00,부천오정경찰서
남자,1,33,0.134,2022-07-01 22:47:00,서울영등포경찰서
남자,1,30,0.05,2022-07-01 22:48:00,안양동안경찰서
남자,1,50,0.08,2022-07-01 22:48:00,김포경찰서
남자,1,61,0.079,2022-07-01 22:49:00,서울송파경찰서
남자,1,40,0.034,2022-07-01 22:54:00,천안서북경찰서
남자,1,54,0.138,2022-07-01 22:54:00,일산서부경찰서
남자,1,44,0.13,2022-07-01 22:55:00,화성서부경찰서
남자,1,71,0.095,2022-07-01 22:57:00,서울강북경찰서
남자,1,44,0.091,2022-07-01 22:58:00,천안서북경찰서
남자,1,26,0.125,2022-07-01 22:59:00,수원남부경찰서
여자,1,42,0.235,2022-07-01 23:01:00,거제경찰서
여자,1,47,0.102,2022-07-01 23:02:00,광주경찰서
남자,1,39,0.206,2022-07-01 23:02:00,오산경찰서
남자,1,59,0.15,2022-07-01 23:05:00,여수경찰서
남자,1,31,0.156,2022-07-01 23:05:00,목포경찰서
남자,1,52,0.263,2022-07-01 23:05:00,서울강남경찰서
남자,1,60,0.03,2022-07-01 23:06:00,포항남부경찰서
남자,1,41,0.044,2022-07-01 23:06:00,서울강동경찰서
남자,1,41,0.262,2022-07-01 23:06:00,안산상록경찰서
남자,1,32,0.098,2022-07-01 23:07:00,부천원미경찰서
남자,1,48,0.086,2022-07-01 23:08:00,천안서북경찰서
남자,1,60,0.04,2022-07-01 23:09:00,부천원미경찰서
남자,1,22,0.129,2022-07-01 23:09:00,평창경찰서
남자,1,51,0.132,2022-07-01 23:12:00,나주경찰서
남자,1,29,0.049,2022-07-01 23:14:00,화성동탄경찰서
남자,1,40,0.056,2022-07-01 23:15:00,남양주남부경찰서
남자,1,39,0.079,2022-07-01 23:18:00,안산단원경찰서
남자,1,40,0.187,2022-07-01 23:20:00,태안경찰서
남자,1,54,0.079,2022-07-01 23:20:00,용인동부경찰서
남자,1,30,0.181,2022-07-01 23:20:00,태안경찰서
여자,1,62,0.204,2022-07-01 23:23:00,인천중부경찰서
남자,1,22,0.155,2022-07-01 23:24:00,화천경찰서
남자,1,52,0.186,2022-07-01 23:25:00,부산기장경찰서
여자,1,30,0.211,2022-07-01 23:26:00,서울용산경찰서
남자,1,49,0.135,2022-07-01 23:26:00,시흥경찰서
남자,1,28,0.114,2022-07-01 23:28:00,수원중부경찰서
남자,1,67,0.146,2022-07-01 23:28:00,인천논현경찰서
남자,1,43,0.13,2022-07-01 23:29:00,부산사상경찰서
남자,1,61,0.178,2022-07-01 23:29:00,용인서부경찰서
남자,1,53,0.154,2022-07-01 23:30:00,부산사하경찰서
여자,1,33,0.038,2022-07-01 23:30:00,김천경찰서
남자,1,51,0.17,2022-07-01 23:33:00,김해서부경찰서
남자,1,53,0.134,2022-07-01 23:34:00,태안경찰서
남자,1,52,0.079,2022-07-01 23:36:00,제주동부경찰서
남자,1,51,0.149,2022-07-01 23:39:00,부산동래경찰서
남자,1,24,0.056,2022-07-01 23:39:00,안산단원경찰서
남자,1,23,0.064,2022-07-01 23:40:00,안양동안경찰서
남자,1,44,0.146,2022-07-01 23:41:00,거제경찰서
남자,1,62,0.142,2022-07-01 23:44:00,인천서부경찰서
남자,1,60,0.126,2022-07-01 23:46:00,대전대덕경찰서
남자,1,26,0.066,2022-07-01 23:46:00,수원남부경찰서
남자,1,40,0.13,2022-07-01 23:47:00,광명경찰서
남자,1,39,0.054,2022-07-01 23:47:00,서귀포경찰서
남자,1,39,0.184,2022-07-01 23:48:00,평택경찰서
남자,1,56,0.117,2022-07-01 23:48:00,포천경찰서
남자,1,48,0.156,2022-07-01 23:48:00,문경경찰서
남자,1,63,0.127,2022-07-01 23:49:00,인천서부경찰서
남자,1,29,0.22,2022-07-01 23:50:00,수원중부경찰서
여자,1,35,0.223,2022-07-01 23:50:00,여수경찰서
남자,1,29,0.077,2022-07-01 23:50:00,군포경찰서
남자,1,44,0.112,2022-07-01 23:51:00,부산해운대경찰서
남자,1,31,0.122,2022-07-01 23:51:00,천안동남경찰서
남자,1,45,0.084,2022-07-01 23:52:00,분당경찰서
남자,1,45,0.115,2022-07-01 23:53:00,아산경찰서
남자,1,37,0.045,2022-07-01 23:54:00,화성서부경찰서
남자,1,31,0.19,2022-07-01 23:55:00,강릉경찰서
남자,1,64,0.114,2022-07-01 23:57:00,서울성북경찰서
여자,1,35,0.172,2022-07-01 23:58:00,김해중부경찰서
남자,1,30,0.084,2022-07-01 23:58:00,인천부평경찰서
남자,1,53,0.146,2022-07-01 23:59:00,수원서부경찰서
남자,1,49,0.187,2022-07-02 00:02:00,안양동안경찰서
남자,1,38,0.062,2022-07-02 00:05:00,대구달성경찰서
남자,1,37,0.169,2022-07-02 00:06:00,전주완산경찰서
남자,1,32,0.17,2022-07-02 00:06:00,거창경찰서
여자,1,25,0.131,2022-07-02 00:08:00,밀양경찰서
남자,1,36,0.156,2022-07-02 00:08:00,천안서북경찰서
남자,1,34,0.045,2022-07-02 00:10:00,인천미추홀경찰서
남자,1,37,0.234,2022-07-02 00:11:00,광주광산경찰서
남자,1,43,0.208,2022-07-02 00:12:00,수원중부경찰서
남자,1,51,0.206,2022-07-02 00:12:00,서울서대문경찰서
남자,1,34,0.04,2022-07-02 00:14:00,인천미추홀경찰서
남자,1,38,0.207,2022-07-02 00:14:00,인천미추홀경찰서
남자,1,54,0.134,2022-07-02 00:15:00,전주덕진경찰서
남자,1,35,0.08,2022-07-02 00:15:00,인천미추홀경찰서
남자,1,28,0.122,2022-07-02 00:15:00,부산중부경찰서
남자,1,50,0.189,2022-07-02 00:15:00,부산강서경찰서
남자,1,26,0.099,2022-07-02 00:16:00,인천남동경찰서
남자,1,25,0.157,2022-07-02 00:18:00,원주경찰서
남자,1,22,0.061,2022-07-02 00:18:00,수원남부경찰서
남자,1,40,0.237,2022-07-02 00:19:00,이천경찰서
남자,1,47,0.144,2022-07-02 00:19:00,용인동부경찰서
남자,1,23,0.109,2022-07-02 00:20:00,인천남동경찰서
남자,1,36,0.098,2022-07-02 00:21:00,광주북부경찰서
남자,1,31,0.101,2022-07-02 00:27:00,인천부평경찰서
남자,1,59,0.131,2022-07-02 00:28:00,속초경찰서
남자,1,39,0.166,2022-07-02 00:28:00,진해경찰서
남자,1,34,0.194,2022-07-02 00:30:00,부산연제경찰서
남자,1,46,0.147,2022-07-02 00:33:00,창원서부경찰서
남자,1,34,0.218,2022-07-02 00:34:00,시흥경찰서
