날짜,시도지역코드,발생건수(건)
2014-02-04,48,2873
2014-02-04,49,527
2014-02-04,99,43755
2014-02-05,11,8751
2014-02-05,26,2694
2014-02-05,27,2402
2014-02-05,28,3064
2014-02-05,29,1552
2014-02-05,30,1218
2014-02-05,31,1132
2014-02-05,41,10606
2014-02-05,42,1249
2014-02-05,43,1507
2014-02-05,44,1931
2014-02-05,45,2013
2014-02-05,46,2205
2014-02-05,47,2558
2014-02-05,48,3056
2014-02-05,49,519
2014-02-05,99,46476
2014-02-06,11,8513
2014-02-06,26,2765
2014-02-06,27,2366
2014-02-06,28,3186
2014-02-06,29,1713
2014-02-06,30,1269
2014-02-06,31,1144
2014-02-06,41,11095
2014-02-06,42,1369
2014-02-06,43,1695
2014-02-06,44,2183
2014-02-06,45,2150
2014-02-06,46,2203
2014-02-06,47,2666
2014-02-06,48,2954
2014-02-06,49,520
2014-02-06,99,47805
2014-02-07,11,9060
2014-02-07,26,2789
2014-02-07,27,2588
2014-02-07,28,3274
2014-02-07,29,1667
2014-02-07,30,1440
2014-02-07,31,1135
2014-02-07,41,11200
2014-02-07,42,1239
2014-02-07,43,1710
2014-02-07,44,2212
2014-02-07,45,2118
2014-02-07,46,2476
2014-02-07,47,2626
2014-02-07,48,3316
2014-02-07,49,558
2014-02-07,99,49419
2014-02-08,11,7988
2014-02-08,26,2472
2014-02-08,27,2584
2014-02-08,28,2854
2014-02-08,29,1672
2014-02-08,30,1407
2014-02-08,31,1043
2014-02-08,41,10109
2014-02-08,42,874
2014-02-08,43,1517
2014-02-08,44,1869
2014-02-08,45,1797
2014-02-08,46,2014
2014-02-08,47,2356
2014-02-08,48,2855
2014-02-08,49,409
2014-02-08,99,43830
2014-02-09,11,759
2014-02-09,26,160
2014-02-09,27,306
2014-02-09,28,377
2014-02-09,29,300
2014-02-09,30,178
2014-02-09,31,165
2014-02-09,41,1723
2014-02-09,42,113
2014-02-09,43,177
2014-02-09,44,273
2014-02-09,45,269
2014-02-09,46,393
2014-02-09,47,291
2014-02-09,48,171
2014-02-09,49,76
2014-02-09,99,5732
2014-02-10,11,11796
2014-02-10,26,3408
2014-02-10,27,3610
2014-02-10,28,4424
2014-02-10,29,2355
2014-02-10,30,1896
2014-02-10,31,1054
2014-02-10,41,15238
2014-02-10,42,1586
2014-02-10,43,2379
2014-02-10,44,2944
2014-02-10,45,3011
2014-02-10,46,3258
2014-02-10,47,3451
2014-02-10,48,4415
2014-02-10,49,696
2014-02-10,99,65543
2014-02-11,11,7891
2014-02-11,26,2647
2014-02-11,27,2557
2014-02-11,28,3114
2014-02-11,29,1722
2014-02-11,30,1372
2014-02-11,31,981
2014-02-11,41,10358
2014-02-11,42,1312
2014-02-11,43,1722
2014-02-11,44,2142
2014-02-11,45,2169
2014-02-11,46,2402
2014-02-11,47,2663
2014-02-11,48,3078
2014-02-11,49,516
2014-02-11,99,46663
2014-02-12,11,8266
2014-02-12,26,2628
2014-02-12,27,2549
2014-02-12,28,3143
2014-02-12,29,1676
2014-02-12,30,1289
2014-02-12,31,1100
2014-02-12,41,10619
2014-02-12,42,1368
2014-02-12,43,1613
2014-02-12,44,2070
2014-02-12,45,2141
2014-02-12,46,2311
2014-02-12,47,2711
2014-02-12,48,3061
2014-02-12,49,449
2014-02-12,99,47005
2014-02-13,11,7797
2014-02-13,26,2733
2014-02-13,27,2605
2014-02-13,28,3057
2014-02-13,29,1726
2014-02-13,30,1300
2014-02-13,31,1047
2014-02-13,41,10229
2014-02-13,42,1082
2014-02-13,43,1657
2014-02-13,44,2047
2014-02-13,45,2079
2014-02-13,46,2318
2014-02-13,47,2666
2014-02-13,48,3078
2014-02-13,49,499
2014-02-13,99,45938
2014-02-14,11,8413
2014-02-14,26,2735
2014-02-14,27,2623
2014-02-14,28,3251
2014-02-14,29,1713
2014-02-14,30,1364
2014-02-14,31,1060
2014-02-14,41,11324
2014-02-14,42,1340
2014-02-14,43,1732
2014-02-14,44,2191
2014-02-14,45,2192
2014-02-14,46,2344
2014-02-14,47,2770
2014-02-14,48,3117
2014-02-14,49,551
2014-02-14,99,48731
2014-02-15,11,7415
2014-02-15,26,2423
2014-02-15,27,2697
2014-02-15,28,2944
2014-02-15,29,1741
2014-02-15,30,1343
2014-02-15,31,920
2014-02-15,41,10013
2014-02-15,42,995
2014-02-15,43,1598
2014-02-15,44,1960
2014-02-15,45,1824
2014-02-15,46,2072
2014-02-15,47,2572
2014-02-15,48,2986
2014-02-15,49,357
2014-02-15,99,43876
2014-02-16,11,857
2014-02-16,26,165
2014-02-16,27,272
2014-02-16,28,428
2014-02-16,29,334
2014-02-16,30,147
2014-02-16,31,138
2014-02-16,41,1780
2014-02-16,42,101
2014-02-16,43,221
2014-02-16,44,273
2014-02-16,45,290
2014-02-16,46,371
2014-02-16,47,313
2014-02-16,48,215
2014-02-16,49,45
2014-02-16,99,5951
2014-02-17,11,11706
2014-02-17,26,3771
2014-02-17,27,3902
2014-02-17,28,4635
2014-02-17,29,2369
2014-02-17,30,1896
2014-02-17,31,1457
2014-02-17,41,15803
2014-02-17,42,1928
2014-02-17,43,2662
2014-02-17,44,3299
2014-02-17,45,3123
2014-02-17,46,3274
2014-02-17,47,4093
2014-02-17,48,4786
2014-02-17,49,691
2014-02-17,99,69413
2014-02-18,11,7825
2014-02-18,26,2728
2014-02-18,27,2860
2014-02-18,28,3161
2014-02-18,29,1722
2014-02-18,30,1302
2014-02-18,31,1024
2014-02-18,41,10825
2014-02-18,42,1179
2014-02-18,43,1778
2014-02-18,44,2219
2014-02-18,45,2247
2014-02-18,46,2569
2014-02-18,47,2799
2014-02-18,48,3280
2014-02-18,49,502
2014-02-18,99,48033
2014-02-19,11,7947
2014-02-19,26,2713
2014-02-19,27,2698
2014-02-19,28,2998
2014-02-19,29,1622
2014-02-19,30,1284
2014-02-19,31,1102
2014-02-19,41,10591
2014-02-19,42,1318
2014-02-19,43,1740
2014-02-19,44,2098
2014-02-19,45,2151
2014-02-19,46,2352
2014-02-19,47,2748
2014-02-19,48,3541
2014-02-19,49,488
2014-02-19,99,47413
2014-02-20,11,7781
2014-02-20,26,2905
2014-02-20,27,2742
2014-02-20,28,3017
2014-02-20,29,1775
2014-02-20,30,1341
2014-02-20,31,1047
2014-02-20,41,10464
2014-02-20,42,1265
2014-02-20,43,1787
2014-02-20,44,2256
2014-02-20,45,2159
2014-02-20,46,2550
2014-02-20,47,2834
2014-02-20,48,3363
2014-02-20,49,509
2014-02-20,99,47807
2014-02-21,11,8244
2014-02-21,26,3013
2014-02-21,27,2705
2014-02-21,28,3107
2014-02-21,29,1783
2014-02-21,30,1385
2014-02-21,31,1148
2014-02-21,41,11198
2014-02-21,42,1322
2014-02-21,43,1980
2014-02-21,44,2352
2014-02-21,45,2195
2014-02-21,46,2451
2014-02-21,47,2866
2014-02-21,48,3640
2014-02-21,49,509
2014-02-21,99,49915
2014-02-22,11,7119
2014-02-22,26,2425
2014-02-22,27,2491
2014-02-22,28,2684
2014-02-22,29,1678
2014-02-22,30,1232
2014-02-22,31,1032
2014-02-22,41,9409
2014-02-22,42,921
2014-02-22,43,1581
2014-02-22,44,1808
2014-02-22,45,1593
2014-02-22,46,2119
2014-02-22,47,2515
2014-02-22,48,2893
2014-02-22,49,384
2014-02-22,99,41894
2014-02-23,11,661
2014-02-23,26,172
2014-02-23,27,334
2014-02-23,28,341
2014-02-23,29,256
2014-02-23,30,167
2014-02-23,31,173
2014-02-23,41,1530
2014-02-23,42,92
2014-02-23,43,169
2014-02-23,44,245
2014-02-23,45,231
2014-02-23,46,402
2014-02-23,47,308
2014-02-23,48,187
2014-02-23,49,54
2014-02-23,99,5323
2014-02-24,11,10732
2014-02-24,26,4004
2014-02-24,27,3448
2014-02-24,28,4175
2014-02-24,29,2415
2014-02-24,30,1739
2014-02-24,31,1612
2014-02-24,41,14378
2014-02-24,42,1702
2014-02-24,43,2492
2014-02-24,44,3020
2014-02-24,45,2979
2014-02-24,46,3392
2014-02-24,47,4074
2014-02-24,48,4797
2014-02-24,49,719
2014-02-24,99,65692
2014-02-25,11,7188
2014-02-25,26,2758
2014-02-25,27,2436
2014-02-25,28,2794
2014-02-25,29,1806
2014-02-25,30,1266
2014-02-25,31,1045
2014-02-25,41,9596
2014-02-25,42,1240
2014-02-25,43,1729
2014-02-25,44,2143
2014-02-25,45,2043
2014-02-25,46,2482
2014-02-25,47,2719
2014-02-25,48,3231
2014-02-25,49,518
2014-02-25,99,45015
2014-02-26,11,7334
2014-02-26,26,2484
2014-02-26,27,2239
2014-02-26,28,2639
2014-02-26,29,1581
2014-02-26,30,1185
2014-02-26,31,981
2014-02-26,41,9596
2014-02-26,42,1225
2014-02-26,43,1619
2014-02-26,44,2027
2014-02-26,45,2025
2014-02-26,46,2299
2014-02-26,47,2519
2014-02-26,48,3091
2014-02-26,49,438
2014-02-26,99,43290
2014-02-27,11,7075
2014-02-27,26,3032
2014-02-27,27,2539
2014-02-27,28,2820
2014-02-27,29,1783
2014-02-27,30,1241
2014-02-27,31,1117
2014-02-27,41,9822
2014-02-27,42,1215
2014-02-27,43,1632
2014-02-27,44,2121
2014-02-27,45,2130
2014-02-27,46,2412
2014-02-27,47,2795
2014-02-27,48,3431
2014-02-27,49,513
2014-02-27,99,45683
2014-02-28,11,8089
2014-02-28,26,3134
2014-02-28,27,2597
2014-02-28,28,2910
2014-02-28,29,1727
2014-02-28,30,1376
2014-02-28,31,1205
2014-02-28,41,10871
2014-02-28,42,1378
2014-02-28,43,1805
2014-02-28,44,2337
2014-02-28,45,2246
2014-02-28,46,2436
2014-02-28,47,2849
2014-02-28,48,3533
2014-02-28,49,556
2014-02-28,99,49070
2014-03-01,11,1829
2014-03-01,26,1147
2014-03-01,27,1295
2014-03-01,28,883
2014-03-01,29,911
2014-03-01,30,466
2014-03-01,31,524
2014-03-01,41,3262
2014-03-01,42,399
2014-03-01,43,820
2014-03-01,44,905
2014-03-01,45,904
2014-03-01,46,1198
2014-03-01,47,1272
2014-03-01,48,1321
2014-03-01,49,205
2014-03-01,99,17348
2014-03-02,11,724
2014-03-02,26,211
2014-03-02,27,267
2014-03-02,28,333
2014-03-02,29,280
2014-03-02,30,142
2014-03-02,31,150
2014-03-02,41,1428
2014-03-02,42,104
2014-03-02,43,173
2014-03-02,44,238
2014-03-02,45,232
2014-03-02,46,368
2014-03-02,47,300
2014-03-02,48,182
2014-03-02,49,58
2014-03-02,99,5192
2014-03-03,11,10556
2014-03-03,26,3980
2014-03-03,27,3132
2014-03-03,28,3690
2014-03-03,29,2255
2014-03-03,30,1634
2014-03-03,31,1401
2014-03-03,41,13437
2014-03-03,42,1777
2014-03-03,43,2206
2014-03-03,44,3000
2014-03-03,45,2801
2014-03-03,46,3209
2014-03-03,47,3676
2014-03-03,48,4525
2014-03-03,49,665
2014-03-03,99,61967
2014-03-04,11,6266
2014-03-04,26,2680
2014-03-04,27,2103
2014-03-04,28,2260
2014-03-04,29,1446
2014-03-04,30,1065
2014-03-04,31,943
2014-03-04,41,8290
2014-03-04,42,1157
2014-03-04,43,1465
2014-03-04,44,1861
2014-03-04,45,1859
2014-03-04,46,2121
2014-03-04,47,2373
2014-03-04,48,2751
2014-03-04,49,425
2014-03-04,99,39082
2014-03-05,11,6601
2014-03-05,26,2575
2014-03-05,27,1958
2014-03-05,28,2083
2014-03-05,29,1360
2014-03-05,30,1005
2014-03-05,31,936
2014-03-05,41,8199
2014-03-05,42,1071
2014-03-05,43,1313
2014-03-05,44,1719
2014-03-05,45,1760
2014-03-05,46,2010
2014-03-05,47,2305
2014-03-05,48,2729
2014-03-05,49,423
2014-03-05,99,38061
2014-03-06,11,6236
2014-03-06,26,2567
2014-03-06,27,2004
2014-03-06,28,2296
2014-03-06,29,1576
2014-03-06,30,1016
2014-03-06,31,911
2014-03-06,41,8233
2014-03-06,42,1077
2014-03-06,43,1323
2014-03-06,44,1820
2014-03-06,45,1845
2014-03-06,46,2107
2014-03-06,47,2244
2014-03-06,48,2607
2014-03-06,49,396
2014-03-06,99,38271
2014-03-07,11,6945
2014-03-07,26,2691
2014-03-07,27,2149
2014-03-07,28,2401
2014-03-07,29,1475
2014-03-07,30,1094
2014-03-07,31,991
2014-03-07,41,8573
2014-03-07,42,1201
2014-03-07,43,1449
2014-03-07,44,1915
2014-03-07,45,2006
2014-03-07,46,2164
2014-03-07,47,2412
2014-03-07,48,2927
2014-03-07,49,435
2014-03-07,99,40844
2014-03-08,11,6553
2014-03-08,26,2529
2014-03-08,27,2170
2014-03-08,28,2305
2014-03-08,29,1541
2014-03-08,30,1161
2014-03-08,31,945
2014-03-08,41,8622
2014-03-08,42,974
2014-03-08,43,1258
2014-03-08,44,1777
2014-03-08,45,1689
2014-03-08,46,1835
2014-03-08,47,2209
2014-03-08,48,2574
2014-03-08,49,394
2014-03-08,99,38549
2014-03-09,11,690
2014-03-09,26,195
2014-03-09,27,286
2014-03-09,28,314
2014-03-09,29,281
2014-03-09,30,165
2014-03-09,31,163
2014-03-09,41,1391
2014-03-09,42,91
2014-03-09,43,140
2014-03-09,44,278
2014-03-09,45,252
2014-03-09,46,371
2014-03-09,47,329
2014-03-09,48,208
2014-03-09,49,66
2014-03-09,99,5221
2014-03-10,11,6341
2014-03-10,26,1815
2014-03-10,27,1754
2014-03-10,28,1709
2014-03-10,29,1783
2014-03-10,30,878
2014-03-10,31,949
2014-03-10,41,7722
2014-03-10,42,984
2014-03-10,43,1215
2014-03-10,44,1371
2014-03-10,45,1999
2014-03-10,46,2194
2014-03-10,47,2428
2014-03-10,48,2258
2014-03-10,49,351
2014-03-10,99,35764
2014-03-11,11,7461
2014-03-11,26,3300
2014-03-11,27,2639
2014-03-11,28,3102
2014-03-11,29,1632
2014-03-11,30,1387
2014-03-11,31,1090
2014-03-11,41,10164
2014-03-11,42,1451
2014-03-11,43,1627
2014-03-11,44,2553
2014-03-11,45,2224
2014-03-11,46,2437
